nodeA,nodeB
120_stair,119a_hallway
101_119hallway,101
102door_119hallway,102
128_103,103
119a_hallway,105
199a1_hallway,106
119a1_hallway,107
122a_hallway,109
122a1_hallway,110
127_111,111
127_112,112
102A,113
122d_hallway,118
119C_HALLWAY,123
122b_hallway,127
127_110,127
105_128,128
119e_hallway,101_119hallway
101,101_122hallway
102,102_102A
102_102A,102A
119e_hallway,102door_119hallway
103door_119hallway,103_1
103_1,103A
103,103door_119hallway
105,105_128
107,107_108A
122b2a_hallway,108_122hallway
107_108A,108A
108A,108A_108
108A,108B
119b1_hallway,108door_119hallway
111,111A
112,112_2
112_2,112A
113,113_102A
119a_hallway,119a1_hallway
119a1_hallway,119b_hallway
128door_119hallway,119b_hallway
119b_hallway,119b1_hallway
119B_HALLWAY,119C_HALLWAY
119d_hallway,119C_HALLWAY
103_1,119d_hallway
122a1_hallway,122a_hallway
108B,122a1_hallway
121_stair,122a1_hallway
122a1_hallway,122b_hallway
122b_hallway,122b2_hallway
122b2_hallway,122b2a_hallway
123,122b3_hallway
122b2_hallway,122b3_hallway
122c_hallway,122b3_hallway
112A,122c_hallway
122d_hallway,122c_hallway
122d1_hallway,122d_hallway
122d2_hallway,122d1_hallway
113,122d2_hallway
122e_hallway,122d2_hallway
101_122hallway,122e_hallway
125Washroom,122e_hallway
199e_hallway,126Washroom
110,127_110
127,127_111
127,127_112
128,128_103
128,128_104
128_1,128door_119hallway
119d_hallway,199e_hallway
