735,554,120_stair
838,554,101_119hallway
735,535,102door_119hallway
469,628,128_103
215,578,119a_hallway
215,554,199a1_hallway
215,338,122a_hallway
215,313,122a1_hallway
434,236,127_111
468,263,127_112
735,448,102A
700,313,122d_hallway
505,554,119C_hallway
434,313,122b_hallway
404,263,127_110
405,628,105_128
735,554,119e_hallway
838,458,101
735,512,102
735,490,102_102A
632,602,103door_119hallway
632,644,103_1
632,628,103
215,628,105
215,506,107
462,363,122b2a_hallway
215,479,107_108A
215,432,108A
456,529,119b1_hallway
434,186,111
632,263,112
632,238,112_2
735,377,113
456,593,128door_119hallway
456,554,119b_hallway
632,554,119d_hallway
215,384,108B
116,313,121_stair
462,313,122b2_hallway
505,452,123
632,313,122c_hallway
726,238,112A
730,313,122d1_hallway
735,313,122d2_hallway
742,313,122e_hallway
838,313,101_122hallway
742,294,125Washroom
735,554,199e_hallway
215,263,110
434,263,127
436,628,128
456,628,128_1
173,554,106
103,338,109
700,367,118
725,644,103A
427,363,108_122hallway
228,432,108A_108
427,529,108door_119hallway
434,69,111A
735,399,113_102A
505,313,122b3_hallway
735,595,126Washroom
436,652,128_104
